t,x
0,7.904
0.034,7.756
0.067,7.44
0.1,6.871
0.134,6.051
0.167,5.166
0.2,4.155
0.234,3.016
0.267,1.878
0.3,0.548
0.334,-0.929
0.367,-2.175
0.4,-3.253
0.434,-4.437
0.467,-5.41
0.5,-6.235
0.534,-6.742
0.567,-7.207
0.6,-7.461
0.633,-7.421
0.667,-7.208
0.7,-6.786
0.733,-6.173
0.767,-5.387
0.8,-4.351
0.833,-3.4
0.867,-2.196
0.9,-0.697
0.933,0.57
0.967,1.793
1,3.059
1.033,4.303
1.067,5.335
1.1,6.156
1.133,6.893
1.167,7.504
1.2,7.82
1.233,7.925
1.267,7.82
1.3,7.525
1.333,6.977
1.367,6.198
1.4,5.355
1.433,4.387
1.467,3.185
1.5,1.835
1.533,0.653
1.566,-0.697
1.6,-2.028
1.633,-3.338
1.666,-4.373
1.7,-5.284
1.733,-6.235
1.766,-6.827
1.8,-7.166
1.833,-7.399
1.866,-7.482
1.9,-7.291
1.933,-6.869
1.966,-6.236
2,-5.557
2.033,-4.563
2.066,-3.421
2.1,-2.218
2.133,-1.14
2.166,0.147
2.199,1.688
2.233,2.953
2.266,4.05
2.299,5.166
2.333,6.072
2.366,6.767
2.399,7.337
2.433,7.694
2.466,7.861
2.499,7.776
2.533,7.482
2.566,6.977
2.6,6.325
2.633,5.461
2.666,4.386
2.699,3.353
2.733,2.088
2.766,0.738
2.799,-0.592
2.833,-1.816
2.866,-3.063
2.899,-4.331
2.933,-5.262
2.966,-6.003
2.999,-6.636
3.033,-7.145
3.066,-7.397
3.099,-7.421
3.132,-7.247
3.166,-6.935
3.199,-6.32
3.232,-5.494
3.266,-4.607
3.299,-3.675
3.332,-2.282
3.366,-0.992
3.399,0.316
3.432,1.498
3.466,2.826
3.499,4.029
3.532,5.061
3.566,5.967
3.599,6.725
3.632,7.314
3.666,7.672
3.699,7.84
3.732,7.798
3.766,7.525
3.799,7.04
3.832,6.387
3.866,5.609
3.899,4.64
3.932,3.353
3.966,2.152
3.999,0.991
4.032,-0.317
4.065,-1.775
4.1,-2.957
4.132,-4.099
4.166,-5.156
4.199,-6.045
4.232,-6.68
4.265,-7.081
4.299,-7.334
4.332,-7.462
4.366,-7.315
4.399,-6.912
