t,x
0,5.91
0.067,5.133
0.133,3.692
0.2,1.45
0.266,-2.329
0.466,-6.376
0.533,-6.335
0.6,-5.132
0.666,-2.603
0.733,-0.866
0.799,1.402
0.866,2.644
0.933,4.643
0.999,4.789
1.066,4.765
1.133,4.131
1.2,2.644
1.266,0.816
1.333,-1.232
1.399,-3.548
1.466,-4.258
1.533,-4.914
1.599,-5.401
1.666,-4.597
1.733,-3.573
1.799,-1.598
1.866,0.157
1.932,1.986
1.999,5.082
2.066,5.954
2.132,5.229
2.199,5.057
2.266,3.595
2.332,1.547
2.399,-0.477
2.466,-2.305
2.532,-3.377
2.599,-4.572
2.665,-4.425
2.732,-3.768
2.799,-2.67
2.865,-0.965
2.932,0.864
2.999,2.765
3.065,4.227
3.132,5.227
3.199,4.277
3.265,3.4
3.332,3.256
3.399,1.448
3.532,-2.329
3.598,-4.011
3.665,-5.085
3.732,-4.086
3.798,-3.987
3.865,-4.669
3.998,1.131
4.132,3.887
4.198,3.643
4.265,3.962
4.331,3.165
4.398,2.352
4.465,2.328
4.531,-1.232
4.598,-1.403
4.665,-3.767
4.731,-4.28
4.798,-4.377
4.865,-4.06
4.931,-3.255
4.998,-2.597
5.065,-0.696
5.131,1.161
5.198,2.742
5.264,4.155
5.331,5.053
5.398,4.229
5.465,2.864
5.532,1.596
5.599,-0.378
5.664,-2.306
5.731,-3.864
5.798,-5.669
5.864,-5.01
5.931,-5.303
5.997,-3.011
6.064,-2.713
6.197,1.084
6.264,2.741
6.331,5.57
6.464,5.783
6.531,2.742
6.597,1.157
6.664,-0.72
6.797,-3.231
6.864,-4.401
6.93,-4.912
6.997,-4.791
7.064,-3.913
7.13,-2.476
7.197,-0.477
7.264,1.986
7.33,3.521
7.397,4.302
7.464,4.885
7.53,4.64
7.597,3.741
7.664,2.132
7.73,0.181
7.797,-1.818
7.863,-2.939
7.93,-4.523
7.997,-5.692
8.063,-4.329
8.13,-3.792
8.263,-0.745
8.33,0.182
8.397,1.818
8.463,3.667
8.53,4.009
8.597,3.863
8.663,2.936
8.73,1.645
8.796,-3.61E-02
8.863,-1.5
8.93,-3.255
8.996,-4.598
9.063,-5.864
9.13,-5.717
9.196,-4.498
9.33,-1.354
9.396,1.839
9.463,3.522
9.53,4.886
9.596,5.714
9.663,4.791
9.729,2.839
9.796,2.888
9.863,1.205
9.929,-0.208
9.996,-3.719
10.129,-5.415
10.196,-5.443
10.263,-4.856
10.329,-3.61
10.396,-2.074
10.462,-0.247
10.529,1.557
10.596,2.996
10.662,3.775
10.729,3.848
10.796,3.07
10.862,1.899
10.929,4.56E-02
10.996,-1.88
11.062,-2.124
11.129,-4.927
11.195,-5.78
11.262,-5.899
11.329,-5.291
11.395,-2.731
11.529,0.681
11.595,2.411
11.662,2.801
11.862,4.275
11.995,-0.233
12.062,-2.116
12.129,-3.872
12.195,-5.232
12.262,-5.329
12.328,-3.965
12.395,-4.916
12.462,-4.574
12.528,-2.961
12.595,-1.188
12.662,0.596
12.728,3.421
12.795,5.396
12.861,5.689
12.928,5.2
12.995,2.934
13.062,1.395
13.128,-0.452
13.195,-2.281
13.261,-3.796
13.328,-4.674
13.395,-6.206
13.461,-4.403
13.528,-4.646
13.595,-3.133
13.729,2.224
13.794,3.664
13.861,3.667
13.928,4.03
13.994,3.669
14.061,2.642
14.128,1.082
14.194,-0.455
14.261,-2.282
14.328,-3.404
14.394,-5.402
14.461,-4.744
14.528,-5.401
14.594,-4.38
14.661,-1.843
14.73,-1.56E-02
14.794,2.008
14.861,3.546
14.927,4.762
14.994,5.177
15.061,4.908
15.127,3.884
15.195,2.376
15.261,0.545
15.327,-1.26
15.394,-2.82
15.46,-3.817
15.527,-4.331
15.594,-4.184
15.66,-2.966
15.727,-1.478
15.794,-1.136
15.86,2.009
15.927,3.589
15.994,4.737
16.06,3.789
16.127,3.616
16.194,3.885
16.26,2.418
16.327,0.64
16.393,-1.162
16.46,-2.723
16.527,-3.819
16.593,-4.282
16.66,-4.136
16.727,-3.281
16.793,-3.353
16.86,-1.529
16.926,0.424
16.993,2.105
17.06,3.346
17.126,3.516
17.193,3.376
17.26,2.984
17.326,1.592
17.393,-0.16
17.46,-1.944
17.526,-3.501
17.593,-4.742
17.66,-5.476
17.726,-5.842
17.793,-3.967
17.86,-2.746
17.926,-0.72
17.993,-0.187
18.06,2.958
18.126,4.273
18.193,3.082
18.293,2.815
18.359,3.739
18.426,2.177
18.559,-1.331
18.626,-2.722
18.693,-5.478
18.759,-5.621
18.826,-5.795
18.892,-4.742
18.959,-3.138
19.026,-1.281
19.092,0.546
19.159,2.391
19.226,3.468
19.292,4.592
19.359,4.251
19.426,1.789
19.492,0.496
19.559,-1.502
19.626,-3.308
19.692,-4.746
19.759,-3.697
19.826,-4.33
19.893,-4.012
19.959,-3.039
20.025,-3.159
20.092,-1.284
20.159,0.618
20.225,2.033
20.292,3.616
20.359,3.836
20.425,3.47
20.492,2.105
20.559,0.497
20.625,-1.087
20.692,-3.062
20.759,-3.308
20.825,-5.67
20.892,-5.452
20.959,-5.159
21.025,-4.185
21.092,-3.77
21.158,1.09E-02
21.225,-0.258
21.292,1.397
21.359,4.617
21.425,4.909
21.493,4.764
21.558,3.837
21.625,2.472
21.691,-1.066
21.758,-2.43
21.825,-2.745
21.894,-4.965
21.958,-5.793
22.025,-5.427
22.091,-3.525
22.158,-1.771
22.225,-0.161
22.291,1.569
22.358,1.67
22.426,3.007
22.558,3.226
22.624,2.763
22.691,1.107
22.758,-0.671
22.824,-2.501
22.891,-4.11
22.958,-4.575
23.024,-5.891
23.091,-3.649
23.157,-3.892
23.224,-3.773
23.291,-2.106
23.357,1.374
23.424,3.033
23.491,2.332
23.557,3.032
23.624,2.984
23.691,2.157
23.757,0.986
23.824,-0.595
23.891,-2.57
23.957,-4.156
24.024,-3.527
24.091,-4.182
24.157,-4.062
24.224,-3.135
24.29,-2.358
24.357,-2.528
24.424,1.447
24.49,3.035
24.557,4.371
24.624,4.665
24.69,4.812
24.757,4.226
24.957,-1.011
25.023,
25.09,-4.207
25.157,-4.576
25.223,-3.991
25.29,-3.531
25.357,-3.067
25.423,-1.627
25.49,1.15
25.557,2.54
25.623,3.93
25.69,3.029
25.756,2.98
25.823,2.418
25.89,1.662
25.956,0.149
26.023,-1.604
26.09,-1.531
26.156,-3.043
26.256,-4.336
26.323,-4.067
26.39,-3.213
26.456,-1.727
26.523,-2.09E-02
26.589,0.955
26.656,3.247
