t,x
0,5.247
0.032,5.106
0.066,4.777
0.099,4.244
0.133,3.589
0.166,2.747
0.199,1.814
0.232,0.784
0.266,-0.312
0.299,-1.434
0.332,-2.555
0.365,-3.653
0.399,-4.657
0.432,-5.568
0.465,-6.34
0.501,-6.945
0.532,-7.39
0.565,-7.67
0.599,-7.789
0.632,-7.695
0.668,-7.437
0.699,-7.038
0.732,-6.432
0.765,-5.684
0.799,-4.82
0.832,-3.839
0.865,-2.833
0.899,-1.69
0.932,-0.573
0.965,0.412
0.998,1.461
1.032,2.442
1.065,3.283
1.099,3.985
1.132,4.522
1.165,4.872
1.199,5.036
1.232,5.01
1.266,4.781
1.298,4.384
1.332,3.822
1.365,3.074
1.399,2.234
1.432,1.275
1.466,0.202
1.498,-0.848
1.532,-1.925
1.565,-3.115
1.598,-4.143
1.632,-5.054
1.665,-5.895
1.698,-6.69
1.732,-7.272
1.765,-7.646
1.798,-7.81
1.832,-7.894
1.865,-7.619
1.898,-7.296
1.932,-6.711
1.965,-6.036
1.998,-5.241
2.031,-4.4
2.065,-3.373
2.098,-2.252
2.131,-1.131
2.165,-0.102
2.198,0.948
2.231,1.929
2.265,2.817
2.298,3.565
2.331,4.149
2.365,4.591
2.398,4.847
2.431,4.897
2.465,4.824
2.498,4.52
2.531,4.031
2.565,3.374
2.598,2.608
2.631,1.652
2.665,0.689
2.698,-0.406
2.731,-1.503
2.765,-2.58
2.798,-3.63
2.831,-4.47
2.865,-5.357
2.898,-6.151
2.931,-6.754
2.964,-7.205
2.998,-7.502
3.031,-7.599
3.064,-7.366
3.098,-7.131
3.131,-6.71
3.164,-6.15
3.198,-5.472
3.231,-4.61
3.264,-3.63
3.298,-2.58
3.331,-1.481
3.364,-0.455
3.398,0.624
3.431,1.605
3.464,2.512
3.498,3.353
3.531,3.984
3.564,4.519
3.598,4.846
3.631,4.989
3.664,4.965
3.698,5.505
3.731,5.359
3.764,3.799
3.798,3.074
3.831,2.234
3.864,1.321
3.897,0.319
3.931,-0.712
3.964,-1.786
3.997,-2.834
4.031,-3.815
4.064,-4.703
4.097,-5.522
4.131,-6.198
4.164,-6.712
4.197,-7.224
4.231,-7.413
4.264,-7.435
4.297,-7.273
4.331,-6.968
4.364,-6.527
4.397,-5.847
4.431,-4.096
4.464,-3.302
4.497,-2.415
4.531,-1.597
4.564,-0.5
4.597,0.714
4.631,1.579
4.664,2.535
4.697,3.515
4.731,4.172
4.764,4.615
4.797,5.083
4.831,5.432
4.864,5.525
4.897,5.386
4.93,5.105
4.964,4.172
4.997,3.564
5.03,2.817
5.064,2.046
5.097,1.088
5.13,1.44E-02
5.164,-1.06
5.197,-2.158
5.23,-3.162
5.264,-3.746
5.297,-4.657
5.33,-5.428
5.364,-5.778
5.397,-6.292
5.43,-6.875
5.464,-7.202
5.497,-6.922
5.53,-6.829
5.563,-6.619
5.597,-6.127
5.63,-5.077
5.663,-4.19
5.697,-3.351
5.73,-1.761
5.763,-0.734
5.797,-0.265
5.83,0.739
5.863,2.187
5.897,3.05
5.93,3.795
5.963,4.424
5.997,4.898
6.03,5.223
6.063,4.592
6.097,4.336
6.13,5.106
6.163,4.755
6.196,4.243
6.23,3.611
6.263,2.864
6.297,1.999
6.33,1.065
6.363,0.129
6.397,-0.828
6.43,-1.785
6.463,-2.742
6.496,-3.606
6.53,-4.374
6.563,-4.985
6.596,-5.544
6.63,-5.893
6.663,-6.128
6.696,-6.081
6.73,-5.987
6.763,-5.753
6.796,-5.31
6.83,-4.82
6.863,-4.143
6.896,-3.373
6.93,-3.419
6.963,-2.461
6.997,-1.48
7.03,-0.521
7.063,0.435
7.096,1.321
7.13,2.094
7.163,2.77
7.196,3.611
7.23,3.733
7.264,3.991
7.296,4.358
7.33,4.265
7.364,4.008
7.396,3.564
7.429,3.003
7.463,2.304
7.497,1.532
7.529,0.692
7.563,-0.265
7.596,-1.222
7.629,-2.158
7.663,-3.116
7.696,-4.026
7.729,-4.843
7.763,-4.587
7.796,-5.076
7.829,-5.567
7.863,-5.852
7.896,-6.012
7.929,-6.525
7.963,-6.152
7.998,-5.918
8.029,-5.521
8.063,-4.517
8.096,-3.722
8.129,-2.882
8.164,-2.018
8.198,-1.108
8.229,-0.453
8.262,0.737
8.296,1.626
8.329,2.303
8.362,2.957
8.396,3.587
8.429,4.101
8.462,4.125
8.496,4.148
8.529,4.148
8.562,3.961
8.596,3.891
8.629,3.215
8.662,2.864
8.696,1.999
8.729,1.182
8.762,0.505
8.796,0.365
8.829,-0.547
8.862,-2.555
8.895,-2.369
8.929,-3.231
8.962,-3.958
8.996,-4.563
9.029,-5.052
9.062,-5.498
9.096,-5.755
9.129,-5.757
9.162,-5.778
9.195,-6.782
9.229,-5.216
9.262,-4.725
9.295,-4.05
9.329,-3.277
9.362,-2.486
9.395,-1.573
9.429,-0.731
9.462,0.2
9.495,1.09
9.529,1.953
9.562,2.703
9.595,3.355
9.629,3.89
9.662,4.287
9.695,4.546
9.729,4.593
9.762,4.544
9.795,4.31
9.829,3.915
9.862,3.401
9.895,2.748
9.929,1.555
9.962,0.97
9.995,0.128
10.028,-0.804
10.062,-1.783
10.095,-2.648
10.128,-2.671
10.162,-4.352
10.195,-4.821
10.228,-5.452
10.262,-6.011
10.295,-5.638
10.328,-5.685
10.362,-5.755
10.395,-5.988
10.428,-5.729
10.462,-5.309
10.495,-4.517
10.528,-3.746
10.562,-2.999
10.595,-2.995
10.628,-1.714
10.662,-0.406
10.695,8.51E-02
10.728,0.95
10.762,2.163
10.795,2.35
10.828,2.98
10.861,3.471
10.895,3.821
10.928,4.009
10.961,4.036
10.995,3.924
11.028,3.657
11.061,3.24
11.095,2.722
11.128,2.048
11.161,1.3
11.195,0.48
11.228,-0.407
11.261,-1.336
11.295,-2.248
11.328,-3.137
11.361,-3.978
11.395,-4.749
11.428,-5.414
11.461,-5.521
11.495,-5.242
11.528,-5.5
11.561,-5.614
11.595,-5.567
11.628,-5.378
11.661,-5.033
11.695,-4.564
11.728,-3.977
11.761,-3.254
11.794,-2.485
11.828,-1.643
11.861,-0.756
11.894,0.268
11.928,1.154
11.961,1.953
11.994,2.701
12.028,3.353
12.061,3.868
12.094,4.055
12.128,4.335
12.161,4.453
12.194,4.432
12.228,4.272
12.261,3.969
12.294,3.54
12.328,3.002
12.361,2.351
12.394,1.835
12.427,0.994
12.461,0.154
12.494,-0.711
12.527,-1.714
12.561,-2.462
12.594,-3.232
12.627,-3.932
12.661,-4.539
12.694,-5.007
12.727,-5.333
12.761,-5.498
12.794,-5.521
12.827,-5.426
12.861,-5.192
12.894,-4.795
12.927,-4.283
12.961,-3.676
12.994,-2.953
13.027,-2.182
13.061,-1.343
13.094,-0.454
13.127,0.411
13.161,1.275
13.194,2.116
13.227,2.817
13.26,3.448
13.294,3.892
13.327,4.242
13.36,4.45
13.394,4.502
13.427,4.428
13.46,4.22
13.494,3.869
13.527,3.379
13.56,2.767
13.594,2.069
13.627,1.251
13.66,0.434
13.694,-0.407
13.727,-1.293
13.76,-2.155
13.794,-2.951
13.827,-3.653
13.86,-4.261
13.894,-4.751
13.927,-5.171
13.96,-5.429
13.994,-5.546
14.027,-5.52
14.06,-5.338
14.094,-5.011
14.127,-4.566
14.16,-4.001
14.193,-3.328
14.227,-2.598
14.26,-1.808
14.293,-0.942
14.327,-0.127
14.36,0.785
14.393,0.714
14.427,1.416
14.46,2.042
14.493,3.612
14.527,4.026
14.56,3.191
14.593,3.326
14.627,3.324
14.66,3.182
14.693,4.031
14.727,3.636
14.76,3.141
14.793,2.532
14.827,1.836
14.86,1.086
14.893,0.272
14.927,-0.546
14.96,-1.364
14.993,-2.156
15.026,-2.886
15.06,-3.537
15.093,-4.094
15.126,-4.538
15.16,-4.849
15.193,-5.03
15.226,-5.076
15.26,-5.051
15.293,-4.819
15.326,-4.4
15.36,-3.865
15.393,-3.256
15.426,-2.555
15.462,-1.807
15.493,-1.038
15.527,-0.198
15.56,0.595
15.593,1.391
15.626,2.117
15.66,2.782
15.693,3.331
15.726,3.794
15.759,4.124
15.793,4.311
15.826,4.38
15.86,4.308
15.893,4.099
15.926,3.768
15.959,3.323
15.993,2.77
16.026,2.113
16.059,1.387
16.093,0.598
16.126,-0.219
16.159,-1.038
16.193,-1.856
16.226,-3.489
16.259,-3.676
16.294,-4.283
16.326,-4.47
16.359,-4.843
16.393,-5.078
16.426,-5.171
16.459,-5.146
16.493,-4.981
16.526,-4.68
16.559,-4.236
16.593,-3.702
16.626,-3.863
16.659,-2.373
16.692,-1.605
16.726,-0.832
16.759,-4.30E-02
16.792,0.711
16.826,1.443
16.859,2.106
16.892,2.676
16.926,3.167
16.959,3.539
16.992,3.634
17.026,3.796
17.059,3.379
17.093,3.261
17.126,3.027
17.159,3.074
17.192,2.164
17.226,1.579
17.259,1.369
17.292,0.598
17.326,-0.476
17.359,-1.2
17.393,-2.088
17.426,-2.602
17.459,-3.162
17.492,-4.073
17.525,-4.517
17.559,-4.984
17.592,-5.285
17.625,-5.451
17.659,-5.101
17.692,-5.329
17.725,-5.075
17.759,-4.678
17.792,-4.143
17.825,-3.255
