t,x
0,8.945
0.034,8.609
0.067,8.034
0.1,7.314
0.134,6.45
0.167,5.418
0.2,4.338
0.234,3.115
0.267,1.797
0.3,0.478
0.333,-0.748
0.367,-1.971
0.4,-3.148
0.433,-4.201
0.467,-5.041
0.5,-5.762
0.533,-6.263
0.567,-6.599
0.6,-8.519
0.633,-8.472
0.667,-7.968
0.7,-5.808
0.733,-5.136
0.767,-4.344
0.8,-3.29
0.833,-2.187
0.867,-1.034
0.9,0.116
0.933,1.34
0.967,2.565
1,3.667
1.033,4.771
1.066,5.563
1.1,6.715
1.133,6.019
1.166,6.618
1.2,7.938
1.233,7.803
1.266,7.131
1.3,6.243
1.333,5.74
1.366,5.092
1.4,4.253
1.433,5.501
1.466,2.501
1.5,1.349
1.533,0.174
1.566,-1.075
1.6,-2.323
1.633,-3.186
1.666,-4.576
1.7,-5.466
1.733,-6.352
1.766,-6.954
1.8,-7.409
1.833,-8.126
1.866,-6.519
1.9,-6.471
1.933,-7.839
1.966,-7.695
2,-7.024
2.033,-6.113
2.066,-5.128
2.1,-3.977
2.133,-2.826
2.166,-1.53
2.199,-0.33
2.233,0.941
2.266,2.117
2.299,3.197
2.333,4.204
2.366,5.26
2.399,5.836
2.433,6.363
2.466,6.699
2.533,6.747
2.566,6.579
2.599,7.755
2.633,7.083
2.666,6.193
2.699,5.427
2.733,4.397
2.766,3.315
2.799,2.139
2.866,-0.261
2.899,-1.53
2.932,-2.68
2.966,-3.689
2.999,-4.576
3.032,-5.299
3.066,-6.735
3.099,-6.856
3.132,-7.19
3.166,-7.118
3.199,-6.447
3.232,-5.991
3.266,-5.608
3.299,-4.625
3.332,-3.569
3.366,-2.273
3.399,-1.098
3.432,-0.186
3.466,1.061
3.499,2.598
3.532,3.485
3.566,4.876
3.599,5.883
3.632,6.964
3.666,7.418
3.699,8.21
3.732,8.522
3.766,8.642
3.799,6.82
3.832,5.98
3.866,7.755
3.932,4.972
3.965,3.46
3.999,3.988
4.065,1.935
4.099,0.952
4.132,-0.656
4.165,-2.047
4.199,-3.415
4.232,-6.221
4.266,-6.823
4.299,-7.469
4.332,-7.974
4.365,-7.829
4.399,-7.948
4.432,-8.309
4.465,-7.877
4.499,-7.422
4.532,-6.847
4.565,-6.078
4.599,-5.238
4.632,-4.205
4.665,-3.151
4.698,-1.994
4.732,-0.822
4.765,0.399
4.799,1.551
4.832,2.467
4.865,3.466
4.898,4.314
4.932,5.104
4.965,5.609
4.998,5.972
5.032,8.819
5.065,6.637
5.098,6.709
5.132,5.845
5.165,7.451
5.198,6.636
5.232,5.749
5.265,4.741
5.298,3.543
5.332,2.247
5.365,-0.752
5.398,-3.34E-02
5.431,-1.137
5.465,-2.313
5.498,-3.415
5.532,-4.543
5.565,-7.133
5.599,-7.685
5.632,-8.022
5.665,-7.276
5.732,-7.54
5.765,-7.109
5.798,-4.831
5.831,-5.646
5.865,-5.118
5.898,-4.638
5.931,-3.127
5.965,-2.143
5.998,-0.896
6.031,0.448
6.066,1.719
6.098,2.967
6.132,3.952
6.165,4.909
6.198,5.51
6.231,7.692
6.264,8.004
6.298,8.316
6.331,8.364
6.365,8.195
6.398,7.79
6.431,6.037
6.464,5.077
6.498,3.951
6.531,2.798
6.564,1.505
6.598,0.256
6.631,-0.512
6.664,-1.783
6.698,-3.174
6.731,-4.492
6.831,-7.362
6.864,-7.554
6.898,-8.154
6.931,-8.562
6.964,-6.546
6.998,-7.626
7.031,-7.194
7.064,-7.145
7.098,-5.178
7.131,-4.171
7.164,-4.004
7.197,-2.708
7.231,-2.109
7.264,-0.429
7.297,0.699
7.331,1.873
7.364,3.051
7.398,3.937
7.431,4.805
7.464,6.986
7.497,7.728
7.531,8.273
7.564,6.339
7.597,6.696
7.631,7.008
7.664,5.736
7.731,4.753
7.764,5.281
7.797,4.37
7.831,3.41
7.864,2.139
7.897,-0.116
7.931,-1.605
7.964,-2.948
7.997,-3.885
8.031,-5.533
8.064,-6.54
8.097,-7.213
8.13,-7.477
8.164,-7.885
8.197,-8.172
8.23,-8.196
8.264,-7.957
8.297,-7.236
8.33,-5.076
8.364,-4.847
8.397,-3.984
8.43,-3.024
8.464,-2.112
8.497,-1.321
8.53,-0.721
8.564,0.407
8.597,1.558
8.63,2.566
8.664,4.197
8.697,5.06
8.73,5.229
8.764,5.589
8.797,6.202
8.83,8.05
8.864,8.626
8.897,6.274
8.963,5.698
8.997,6.922
9.03,5.987
9.064,5.195
9.097,4.091
9.13,2.652
9.163,1.524
9.197,-1.906
9.23,-2.098
9.263,-2.674
9.297,-4.521
9.33,-5.985
9.363,-6.345
9.397,-7.136
9.43,-7.689
9.563,-6.033
9.597,-5.505
9.63,-5.025
9.663,-4.424
9.696,-3.61
9.73,-1.81
9.763,-0.491
9.796,0.66
9.83,1.812
9.863,2.987
9.896,4.114
9.93,3.204
9.963,4.163
9.996,6.994
10.03,7.618
10.063,6.177
10.096,6.397
10.13,6.682
10.163,6.086
10.196,6.13
10.23,7.81
10.296,4.812
10.33,3.587
10.363,2.268
10.396,0.829
10.43,-0.323
10.463,-1.667
10.496,-3.011
10.53,-4.282
10.563,-3.514
10.596,-4.234
10.629,-4.738
10.663,-7.689
10.696,-8.192
10.729,-8.192
10.763,-6.345
10.796,-6.201
10.829,-5.265
10.863,-5.145
10.896,-6.726
10.929,-6.248
10.996,-4.45
11.029,-3.3
11.063,0.374
11.096,2.267
11.129,2.46
11.163,2.533
11.196,4.163
11.229,4.931
11.263,5.241
11.296,5.745
11.329,6.298
11.429,8.025
11.462,7.833
11.496,7.427
11.529,4.739
11.563,6.059
11.596,4.762
11.629,4.019
11.662,0.59
11.696,1.621
11.729,0.468
11.762,-0.298
11.796,-3.993
11.829,-3.007
11.862,-5.817
11.896,-6.513
11.929,-7.208
11.962,-7.641
11.996,-5.63
12.029,-8
12.096,-7.448
12.129,-6.944
12.162,-6.441
12.262,-1.787
12.296,-1.211
12.329,3.74E-02
12.362,0.949
12.395,2.004
12.429,2.172
12.462,3.012
12.497,5.891
12.53,6.658
12.562,5.939
12.595,7.882
12.629,8.314
12.663,8.361
12.695,8.313
12.729,8.265
12.762,5.987
12.795,4.907
12.862,4.139
12.895,2.796
12.929,1.477
12.962,-8.31E-02
12.995,-1.187
13.029,-2.624
13.062,-3.945
13.095,-2.961
13.128,-3.778
13.162,-4.568
13.195,-7.497
13.229,-5.72
13.262,-5.937
13.295,-6.032
13.328,-6.129
13.362,-5.53
13.395,-5.529
13.428,-7.231
13.462,-6.513
13.495,-5.745
13.528,-4.595
13.562,-1.185
13.595,-1.952
13.628,-0.751
13.662,0.423
13.695,1.622
13.728,2.77
13.762,3.853
13.795,4.979
13.862,7.596
13.895,7.929
13.928,7.93
13.962,8.002
14.028,5.409
14.062,7.042
14.095,5.987
14.128,2.797
14.162,1.764
14.195,0.879
14.228,-0.396
14.261,0.396
14.295,-0.898
14.328,-3.91
14.361,-4.811
14.395,-5.962
14.428,-6.634
14.461,-6.824
14.495,-7.472
14.528,-7.903
14.595,-6.272
14.628,-5.889
14.661,-5.362
14.695,-5.697
14.728,-5.697
14.761,-4.905
14.794,-2.004
14.828,-0.899
14.861,0.182
14.894,-0.779
14.928,0.206
14.961,1.164
14.994,2.146
15.028,2.994
15.061,4.357
15.095,4.956
15.128,6.922
15.161,6.538
15.194,6.442
15.228,6.491
15.261,6.515
15.294,5.915
15.328,5.124
15.361,4.139
15.394,3.013
15.428,3.922
15.461,3.277
15.494,0.133
15.528,-1.981
15.561,-2.721
15.594,-4.042
15.628,-4.712
15.661,-3.392
15.694,-7.017
15.728,-6.897
15.761,-7.28
15.794,-7.424
15.827,-7.832
15.861,-7.568
15.894,-7.304
15.927,-6.993
15.961,-6.512
15.994,-5.817
16.027,-3.25
16.061,-2.411
16.094,-1.545
16.127,0.157
16.161,1.452
16.194,2.46
16.227,1.308
16.261,4.668
16.294,5.626
16.327,6.443
16.361,7.33
16.394,5.266
16.427,6.179
16.461,6.466
16.494,6.009
16.527,6.034
16.56,6.515
16.594,6.082
16.627,5.004
16.66,3.708
16.694,2.603
16.727,1.403
16.76,1.18E-02
16.794,-1.4
16.827,-2.743
16.86,-1.259
16.894,-4.115
16.927,-3.347
16.96,-4.306
16.994,-4.81
17.027,-5.29
17.06,-8.073
17.094,-6.105
17.127,-7.785
17.16,-8
17.194,-7.592
17.227,-7.088
17.26,-6.249
17.294,-5.506
17.327,-4.16
17.36,-2.986
17.393,-1.835
17.427,1.163
17.46,2.412
17.493,3.611
17.527,4.643
17.56,5.17
17.593,4.283
17.627,5.245
17.66,5.603
17.693,7.93
17.727,6.178
17.76,8.483
17.793,8.025
17.827,5.747
17.86,5.147
17.893,5.965
17.927,5.483
17.96,5.003
17.993,2.028
18.026,0.733
18.06,-0.825
18.093,-0.276
18.127,-1.668
18.16,-2.866
18.193,-3.706
18.226,-3.921
18.26,-6.465
18.293,-6.752
18.326,-5.961
18.36,-6.057
18.393,-5.793
18.426,-5.769
18.46,-6.369
18.493,-6.8
18.526,-4.114
18.56,-5.29
18.593,-1.883
18.626,-2.217
18.66,-2.146
