t,x
0,6.972
0.067,6.479
0.167,4.054
0.2,2.947
0.233,1.686
0.267,0.388
0.3,-0.928
0.333,-2.269
0.367,-3.508
0.4,-4.083
0.433,-5.18
0.467,-6.251
0.5,-5.687
0.533,-7.967
0.567,-6.528
0.6,-6.58
0.633,-8.36
0.667,-8.147
0.7,-7.876
0.733,-7.481
0.767,-6.469
0.8,-5.571
0.833,-4.535
0.867,-1.325
0.9,-0.153
0.933,1.086
0.966,0.451
1,1.839
1.033,3.147
1.066,4.173
1.1,6.334
1.133,5.602
1.166,6.492
1.2,6.84
1.233,6.887
1.266,6.796
1.3,6.465
1.333,5.982
1.367,5.134
1.433,3.193
1.466,2.015
1.5,1.64
1.533,1.071
1.567,-0.22
1.6,-2.338
1.633,-4.27
1.699,-5.509
1.733,-7.295
1.766,-7.03
1.799,-7.426
1.833,-7.809
1.866,-7.883
1.899,-6.57
1.933,-6.055
1.966,-6.956
1.999,-6.075
2.033,-4.004
2.066,-2.957
2.099,-1.833
2.133,-0.372
2.166,0.824
2.199,1.773
2.233,3.14
2.266,4.232
2.301,5.127
2.333,6.071
2.366,6.81
2.399,7.385
2.434,7.651
2.466,7.7
2.503,8.166
2.533,7.962
2.566,6.727
2.599,6.024
2.632,5.055
2.667,3.986
2.699,2.817
2.732,1.6
2.766,0.205
2.8,-1.13
2.833,-2.423
2.866,-3.695
2.899,-4.463
2.933,-5.328
2.966,-6.163
2.999,-7.235
3.032,-8.403
3.066,-6.55
3.099,-7.406
3.133,-6.379
3.166,-7.444
3.199,-5.51
3.236,-6.291
3.266,-5.215
3.299,-4.14
3.332,-2.99
3.366,-1.808
3.399,-0.511
3.433,0.735
3.466,1.714
3.499,2.717
3.532,3.672
3.566,4.569
3.599,5.293
3.632,6.191
3.665,6.649
3.699,8.417
3.732,7.695
3.765,7.634
3.799,7.164
3.832,6.927
3.865,6.022
3.9,5.025
3.932,3.869
3.966,2.599
4,1.239
4.032,-0.101
4.066,-1.481
4.099,-2.84
4.132,-4.114
4.165,-5.188
4.199,-6.164
4.232,-6.82
4.266,-7.43
4.299,-8.252
4.332,-8.644
4.365,-6.306
4.399,-5.916
4.432,-5.559
4.465,-4.926
4.498,-5.385
4.532,-3.116
4.565,-2
